date,ipr,pr,q_cpi_infl,q_csi_gr,q_indpro_gr,q_rgdp_gr,q_sp500_ret,sr,su,y
10/1/1998,1.361469442,0.548409907,0.005484099,-0.032934132,0.013614694,0.016150206,0.033125901,3.312590064,-3.293413174,1.615020569
1/1/1999,1.044825226,0.242828974,0.00242829,0.053824363,0.010448252,0.007921751,0.116722278,11.67222775,5.382436261,0.792175091
4/1/1999,0.926226697,0.723290994,0.00723291,0.002824859,0.009262267,0.008179628,0.053408121,5.340812069,0.282485876,0.817962831
7/1/1999,0.929990244,1.076456925,0.010764569,-0.002832861,0.009299902,0.012428801,0.009240406,0.924040605,-0.283286119,1.242880111
10/1/1999,1.791843383,0.593579292,0.005935793,-0.005698006,0.017918434,0.01706202,0.02364692,2.364691978,-0.56980057,1.706201957
1/1/2000,1.042032318,1.291893755,0.012918938,0.04359673,0.010420323,0.002893335,0.032859816,3.285981598,4.359673025,0.289333483
4/1/2000,1.276707378,0.697439987,0.0069744,-0.011948529,0.012767074,0.018537577,0.018553709,1.855370872,-1.194852941,1.853757744
7/1/2000,-0.0947686,0.807952578,0.008079526,-0.012093023,-0.000947686,0.001201332,0.020109837,2.010983679,-1.209302326,0.120133163
10/1/2000,-0.312836711,0.573823857,0.005738239,-0.034648701,-0.003128367,0.005651872,-0.077207515,-7.720751543,-3.464870067,0.565187236
1/1/2001,-1.457649636,0.853534726,0.008535347,-0.12567714,-0.014576496,-0.002851712,-0.070479152,-7.047915158,-12.56771398,-0.285171185
4/1/2001,-1.422162535,0.902780721,0.009027807,-0.014285714,-0.014221625,0.005272888,-0.031171001,-3.117100077,-1.428571429,0.527288767
7/1/2001,-1.485512209,0.223928262,0.002239283,-0.027088036,-0.014855122,-0.003172586,-0.067483857,-6.748385689,-2.708803612,-0.317258593
10/1/2001,-1.162673519,-0.394239345,-0.003942393,-0.041128085,-0.011626735,0.002767592,-0.033795811,-3.379581137,-4.112808461,0.276759193
1/1/2002,0.713343642,0.617475231,0.006174752,0.085929108,0.007133436,0.0091239,0.014991657,1.499165676,8.592910849,0.912390002
